123,INTC,Intel Corporation,82.70B
124,FTNT,"Fortinet, Inc.",82.52B
125,CDNS,"Cadence Design Systems, Inc.",82.19B
126,HCA,"HCA Healthcare, Inc.",81.57B
127,CTAS,Cintas Corporation,81.54B
128,MMM,3M Company,81.36B
129,SNPS,"Synopsys, Inc.",81.28B
130,AJG,Arthur J. Gallagher & Co.,80.52B
131,MSI,"Motorola Solutions, Inc.",80.10B
132,TT,Trane Technologies plc,79.88B
133,CI,The Cigna Group,79.75B
134,PNC,"The PNC Financial Services Group, Inc.",79.47B
135,CMG,"Chipotle Mexican Grill, Inc.",77.62B
136,COF,Capital One Financial Corporation,77.46B
137,ZTS,Zoetis Inc.,77.34B
138,PYPL,"PayPal Holdings, Inc.",76.48B
139,REGN,"Regeneron Pharmaceuticals, Inc.",75.99B
140,ORLY,"O'Reilly Automotive, Inc.",75.69B
141,MDLZ,"Mondelez International, Inc.",75.61B
142,ITW,Illinois Tool Works Inc.,75.47B
143,MCK,McKesson Corporation,74.66B
144,TDG,TransDigm Group Incorporated,74.44B
145,DELL,Dell Technologies Inc.,74.21B
146,USB,U.S. Bancorp,73.68B
147,WDAY,"Workday, Inc.",72.32B
148,RCL,Royal Caribbean Cruises Ltd.,71.11B
149,CL,Colgate-Palmolive Company,70.88B
150,EOG,"EOG Resources, Inc.",70.84B
151,EMR,Emerson Electric Co.,70.13B
152,ECL,Ecolab Inc.,70.05B
153,RSG,"Republic Services, Inc.",69.23B
154,APD,"Air Products and Chemicals, Inc.",69.07B
155,GD,General Dynamics Corporation,68.78B
156,WMB,"The Williams Companies, Inc.",68.19B
157,CVS,CVS Health Corporation,67.97B
158,SPG,"Simon Property Group, Inc.",67.84B
159,NOC,Northrop Grumman Corporation,67.83B
160,BDX,"Becton, Dickinson and Company",66.00B
161,HLT,Hilton Worldwide Holdings Inc.,64.89B
162,ADSK,"Autodesk, Inc.",64.70B
163,CSX,CSX Corporation,62.85B
164,TFC,Truist Financial Corporation,62.74B
165,BK,The Bank of New York Mellon Corporation,61.83B
166,FDX,FedEx Corporation,61.68B
167,ROP,"Roper Technologies, Inc.",61.42B
168,TGT,Target Corporation,60.19B
169,KMI,"Kinder Morgan, Inc.",60.07B
170,JCI,Johnson Controls International plc,57.86B
171,MET,"MetLife, Inc.",57.84B
172,CARR,Carrier Global Corporation,57.58B
173,AZO,"AutoZone, Inc.",57.40B
174,AFL,Aflac Incorporated,56.97B
175,DLR,"Digital Realty Trust, Inc.",56.83B
176,VST,Vistra Corp.,56.78B
177,NSC,Norfolk Southern Corporation,56.38B
178,SLB,Schlumberger Limited,56.26B
179,CPRT,"Copart, Inc.",56.09B
180,OKE,"ONEOK, Inc.",55.98B
181,PCAR,PACCAR Inc,55.60B
182,TRV,"The Travelers Companies, Inc.",55.56B
183,CHTR,"Charter Communications, Inc.",55.11B
184,FCX,Freeport-McMoRan Inc.,54.92B
185,NXPI,NXP Semiconductors N.V.,54.12B
186,AEP,"American Electric Power Company, Inc.",53.44B
187,PSA,Public Storage,53.14B
188,PAYX,"Paychex, Inc.",52.84B
189,SRE,Sempra,51.93B
190,HWM,Howmet Aerospace Inc.,51.88B
191,AMP,"Ameriprise Financial, Inc.",51.81B
192,AXON,"Axon Enterprise, Inc.",51.80B
193,CMI,Cummins Inc.,51.09B
194,NEM,Newmont Corporation,50.53B
195,GWW,"W.W. Grainger, Inc.",50.44B
196,ALL,The Allstate Corporation,50.41B
197,DFS,Discover Financial Services,50.19B
198,PSX,Phillips 66,49.68B
199,URI,"United Rentals, Inc.",48.37B
200,LULU,Lululemon Athletica Inc.,48.33B
201,COR,"Cencora, Inc.",48.07B
202,NDAQ,"Nasdaq, Inc.",47.60B
203,O,Realty Income Corporation,47.51B
204,MPC,Marathon Petroleum Corporation,47.44B
205,GM,General Motors Company,47.15B
206,ROST,"Ross Stores, Inc.",47.04B
207,KR,The Kroger Co.,47.03B
208,AIG,"American International Group, Inc.",46.59B
209,FANG,"Diamondback Energy, Inc.",46.17B
210,PWR,"Quanta Services, Inc.",46.09B
211,D,"Dominion Energy, Inc.",45.89B
212,BKR,Baker Hughes Company,45.74B
213,FICO,Fair Isaac Corporation,45.39B
214,MNST,Monster Beverage Corporation,45.29B
215,MSCI,MSCI Inc.,45.02B
216,FIS,"Fidelity National Information Services, Inc.",44.91B
217,TRGP,Targa Resources Corp.,43.92B
218,HES,Hess Corporation,43.90B
219,OXY,Occidental Petroleum Corporation,43.90B
220,TEL,TE Connectivity plc,43.82B
221,DAL,"Delta Air Lines, Inc.",43.69B
222,KMB,Kimberly-Clark Corporation,43.23B
223,GLW,Corning Incorporated,43.06B
224,CBRE,"CBRE Group, Inc.",42.94B
225,CTSH,Cognizant Technology Solutions Corporation,42.74B
226,CTVA,"Corteva, Inc.",42.74B
227,AME,"AMETEK, Inc.",42.68B
228,FAST,Fastenal Company,42.34B
229,VLO,Valero Energy Corporation,42.13B
230,KDP,Keurig Dr Pepper Inc.,42.10B
231,ODFL,"Old Dominion Freight Line, Inc.",42.10B
232,GRMN,Garmin Ltd.,41.80B
233,PEG,Public Service Enterprise Group Incorporated,41.67B
234,EXC,Exelon Corporation,41.51B
235,EW,Edwards Lifesciences Corporation,41.49B
236,VRSK,"Verisk Analytics, Inc.",41.48B
237,A,"Agilent Technologies, Inc.",41.43B
238,IT,"Gartner, Inc.",40.83B
239,DHI,"D.R. Horton, Inc.",40.65B
240,YUM,"Yum! Brands, Inc.",40.05B
241,GEHC,GE HealthCare Technologies Inc.,40.04B
242,PRU,"Prudential Financial, Inc.",40.01B
